분류,기업,이름,주소,시군구코드,법정동코드,번,지,비고,임차여부
공공,한국도로공사,ICT운영센터(동탄),경기 화성시 동탄산척로2길 53-7,41590,13500,38 ,3 ,,
공공,한국사회보장정보원,한국사회보장정보원 데이터센터,서울 광진구 능동로 400 보건복지행정타운 20층 한국사회보장정보원,11215,10100,30 ,80 ,,
은행,한국산업은행,디지털스퀘어,경기 하남시 미사강변한강로 177,41450,10900,836 ,1 ,,
공공,한국생명공학연구원,통합전산센터,대전 유성구 과학로 125,30200,12300,52 ,0 ,,
공공,한국수력원자력(주),메인데이터센터(경주),경북 경주시 양북면 불국로 1655,47130,31034,1270 ,0 ,,
공공,한국예탁결제원,한국예탁결제원 일산전산센터,경기 고양시 일산동구 호수로 358-8,41285,10600,1328 ,0 ,,
공공,한국자산관리공사,정보시스템실 시스템팀,부산 남구 문현금융로 40,26290,10900,1229 ,1 ,,
공공,한국조폐공사,성과관리처 경영정보팀,대전 유성구 테크노10로 7,30200,14300,847 ,0 ,,
공공,한국주택금융공사,한국주택금융공사 상암IT센터,서울 마포구 월드컵북로54길 17 사보이시티 오피스동 4층,11440,12700,1597 ,0 ,,
공공,한국철도공사,통합전산센터,대전 동구 중앙로 240,30110,11300,293 ,74 ,,
금융,NH농협은행,NH통합IT센터,경기도 의왕시 포일동 617,41430,10900,617 ,0 ,,
금융,신한금융그룹,신한금융그룹데이터센터,경기 용인시 수지구 디지털벨리로 67,41465,10200,23 ,2 ,,
금융,우리금융,우리금융 데이터센터,서울시 마포구 월드컵북로 60길 17,11440,12700,1585 ,0 ,,
금융,하나금융,하나금융그룹 통합데이터센터,인천광역시 서구 에코로 181,28260,12200,7 ,5 ,,
민간,세종텔레콤,세종텔레콤,경기도 용인시 수지구용구대로 2771번길 85,41465,10300,325 ,230 ,,
민간,다우기술,다우IDC 제 1센터(마포),서울특별시 마포구 독막로 311 재화스퀘어,11440,10900,168 ,9 ,,
민간,KINX (인터넷 인프라 기업),IDC 도곡 1센터,서울특별시 강남구 언주로 30길 13 대림아크로텔 5층,11680,11800,467 ,6 ,"KINX는 호스트웨이, LG CNS등의 기업을 임차하여 사용 중",
민간,KINX (인터넷 인프라 기업),IDC 분당1,경기도 성남시 분당구 장미로 36 호스트웨이 IDC,41135,10700,343 ,1 ,,
민간,디지털 리얼티(리츠),디지털 서울 1(ICN10),서울특별시 마포구 상암동 1588,11440,12700,1588 ,0 ,,
민간,디지털 리얼티(리츠),디지털 서울2(ICN11),경기도 김포시 구래동,41570,10900,,,"2023년 가동 예정, 자세한 주소 미제공",
민간,퍼시픽자산운용(자산운용사),퍼시픽써니데이터센터,경기도 용인시 수지구 대지로 233,41465,10200,1358 ,0 ,건설 중 (2023.12월 완공예정),
민간,NAVER,네이버 데이터센터 각,강원 춘천시 동면 순환대로 1231,42110,31022,1000 ,0 ,수력 발전소 통해 전체 전력량 70% 수급,
민간,NHN,"토스트 클라우드 센터1
 (TOAST Cloud Center 1, TCC1)",경기도 성남시 분당구 대왕판교로712번길 11,41135,10900,695 ,0 ,"2021 착공
2022.12 준공 예정",
민간,NHN,NHN 김해 데이터센터,경남 김해시 김해대로 2398,48250,10300,564 ,1 ,2023 준공 예정,
민간,NHN,공공 클라우드 데이터센터,전남 순천시 해룡면 대안리 1186-20,46150,31024,1186 ,20 ,2024 준공 예정,
민간,"NHN
(광주시·행안부)",국가 AI 데이터센터,광주 북구 첨단과기로176번길,29170,14100,1110 ,7 ,2023 준공 예정,
민간,KAKAO,카카오 데이터센터,"한양대학교 ERICA 캠퍼스 혁신파크단지 내
(학교 위치 : 경기도 안산시 한양대학로 55)",41270,10300,1271 ,0 ,"2023 준공 예정
우수 및 중수, 폐열 재활용 시스템 도입 예정
기존 대비 총 에너지 사용량 30% 감소, 연간 에너지 비용 약 31억 원 절감 예상
연간 32GWh의 전력을 절감, 탄소 배출량 14% 감축기대
에너지 절감 기술을 통해 데이터센터 PUE* 1.3 이하 기준으로 설계 및 시공 준비",
민간,KAKAO,카카오 제2데이터센터,"제주시 월평동 제주첨단과학기술국가산업단지 내
(본사 위치 : 제주 제주시 첨단로 242)",49110,13600,2181 ,0 ,2024 준공 예정,
민간,KAKAO,카카오 제3데이터센터,경기도 시흥시 서울대학로 173,41390,13500,242 ,0 ,"2024 착공 예정
2026 준공 예정",
금융,KB금융,KB국민은행 통합IT센터,경기 김포시 태장로769번길 35,41570,10400,2016 ,1 ,,
금융,"동부그룹 계열사, 미래에셋 생명, 골든브릿지 증권, SC제일은행 DR센터, 미쓰비시 은행 DR센터 ,에스콰이어",동부화재데이터센터,경기도 용인시 수지구 죽전동 23-6,41465,10200,23 ,6 ,,
민간,한화그룹,한화데이터센터,경기 용인시 수지구 디지털벨리로 67,41465,10200,23 ,2 ,,
민간,롯데정보통신,롯데정보통신 제1센터,서울특별시 구로구 가산동 533-2,11545,10100,533 ,2 ,,
,,롯데정보통신 제2센터,대전광역시 유성구 가정북로 145,30200,12800,24 ,4 ,,
,AWS 임차(롯데정보통신(현대정보기술) 용인 글로벌클라우드센터),"롯데정보통신 제3,4센터",경기도 용인시 기흥구 마북로 240번길 17-9,41463,11300,102 ,18 ,*AWS 중복,
