,시군,지진위험도,태풍위험도
0,서울특별시,-0.225015052028862,0.532135230786902
1,부산광역시,-0.225015052028862,1.0537161377324622
2,대구광역시,0.2382520682962288,-0.4186954640887522
3,인천광역시,0.32111011034145825,-0.4186954640887522
4,광주광역시,0.32260385499059524,0.532135230786902
5,대전광역시,0.20271886003951786,-0.4186954640887522
6,울산광역시,-0.225015052028862,-0.4186954640887522
7,세종특별자치시,-0.225015052028862,0.532135230786902
8,수원시,0.15016591997901996,0.532135230786902
9,성남시,-0.225015052028862,-0.4186954640887522
10,의정부시,-0.225015052028862,-0.4186954640887522
11,안양시,-0.225015052028862,-0.4186954640887522
12,부천시,-0.225015052028862,-0.4186954640887522
13,광명시,-0.225015052028862,-0.4186954640887522
14,평택시,-0.225015052028862,-0.4186954640887522
15,동두천시,-0.225015052028862,-0.4186954640887522
16,안산시,-0.225015052028862,-0.4186954640887522
17,고양시,-0.225015052028862,0.0721084031849859
18,과천시,-0.225015052028862,-0.4186954640887522
19,구리시,-0.225015052028862,-0.4186954640887522
20,남양주시,-0.225015052028862,0.0721084031849859
21,오산시,-0.225015052028862,-0.4186954640887522
22,시흥시,-0.225015052028862,0.0721084031849859
23,군포시,-0.225015052028862,-0.4186954640887522
24,의왕시,-0.225015052028862,-0.4186954640887522
25,하남시,-0.225015052028862,-0.4186954640887522
26,용인시,-0.225015052028862,0.0721084031849859
27,파주시,0.15091279230358845,-0.4186954640887522
28,이천시,0.15016591997901996,-0.4186954640887522
29,안성시,-0.225015052028862,0.532135230786902
30,김포시,-0.225015052028862,-0.4186954640887522
31,화성시,-0.225015052028862,-0.4186954640887522
32,광주시,0.15016591997901996,-0.4186954640887522
33,양주시,-0.225015052028862,-0.4186954640887522
34,포천시,-0.225015052028862,-0.4186954640887522
35,여주시,0.15091279230358845,0.5629122704587239
36,연천군,-0.225015052028862,0.0721084031849859
37,가평군,-0.225015052028862,0.532135230786902
38,양평군,-0.225015052028862,0.532135230786902
39,춘천시,-0.225015052028862,0.532135230786902
40,원주시,-0.225015052028862,-0.4186954640887522
41,강릉시,-0.225015052028862,-0.4186954640887522
42,동해시,-0.225015052028862,-0.4186954640887522
43,태백시,0.18420538358659386,-0.4186954640887522
44,속초시,-0.225015052028862,-0.4186954640887522
45,삼척시,0.1686793964319439,1.1152702170761062
46,홍천군,-0.225015052028862,0.9921620583888182
47,횡성군,-0.225015052028862,-0.4186954640887522
48,영월군,0.1679325241073754,-0.4186954640887522
49,평창군,-0.225015052028862,0.13366248252862983
50,정선군,-0.225015052028862,0.37209164912565684
51,철원군,-0.225015052028862,-0.4186954640887522
52,화천군,-0.225015052028862,0.532135230786902
53,양구군,-0.225015052028862,-0.4186954640887522
54,인제군,-0.225015052028862,-0.4186954640887522
55,고성군_강원,-0.225015052028862,-0.4186954640887522
56,양양군,-0.225015052028862,0.0721084031849859
57,청주시,0.15016591997901996,0.8013414370557511
